Count	a1 [inc]	a2 [inc]
1	95.0	189.0
2	95.0	189.0
3	95.0	189.0
4	95.0	189.0
5	95.0	189.0
6	94.0	189.0
7	94.0	189.0
8	95.0	189.0
9	94.0	189.0
10	95.0	189.0
11	94.0	189.0
12	94.0	189.0
13	95.0	190.0
14	95.0	189.0
15	95.0	189.0
16	95.0	190.0
17	92.0	7.0
18	92.0	6.0
19	92.0	6.0
20	92.0	8.0
21	92.0	7.0
22	92.0	7.0
23	92.0	6.0
24	92.0	6.0
25	92.0	6.0
26	92.0	6.0
27	92.0	6.0
28	92.0	6.0
29	92.0	6.0
30	92.0	6.0
31	92.0	6.0
32	92.0	6.0
33	92.0	6.0
34	95.0	189.0
35	92.0	6.0
36	92.0	6.0
37	92.0	6.0
38	92.0	6.0
39	92.0	6.0
40	92.0	6.0
41	92.0	6.0
42	92.0	6.0
43	92.0	6.0
44	99.0	6.0
45	104.0	7.0
46	109.0	7.0
47	119.0	8.0
48	128.0	8.0
49	128.0	8.0
50	128.0	8.0
51	128.0	8.0
52	128.0	8.0
53	128.0	8.0
54	128.0	8.0
55	128.0	8.0
56	128.0	8.0
57	128.0	8.0
58	128.0	9.0
59	128.0	8.0
60	128.0	8.0
61	128.0	8.0
62	128.0	8.0
63	130.0	9.0
64	137.0	9.0
65	138.0	9.0
66	139.0	9.0
67	139.0	9.0
68	142.0	9.0
69	143.0	10.0
70	145.0	10.0
71	144.0	10.0
72	148.0	9.0
73	148.0	10.0
74	147.0	10.0
75	157.0	11.0
76	157.0	11.0
77	164.0	12.0
78	171.0	12.0
79	184.0	13.0
80	188.0	14.0
81	193.0	14.0
82	194.0	14.0
83	198.0	15.0
84	199.0	15.0
85	199.0	15.0
86	199.0	15.0
87	199.0	15.0
88	205.0	16.0
89	210.0	16.0
90	215.0	17.0
91	217.0	17.0
92	222.0	18.0
93	225.0	18.0
94	227.0	18.0
95	237.0	20.0
96	244.0	21.0
97	255.0	23.0
98	255.0	23.0
99	255.0	24.0
100	255.0	20.0
101	112.0	8.0
102	94.0	6.0
103	93.0	6.0
104	94.0	6.0
105	94.0	6.0
106	93.0	6.0
107	94.0	6.0
108	93.0	6.0
109	93.0	6.0
110	93.0	6.0
111	94.0	6.0
112	94.0	6.0
113	94.0	6.0
114	94.0	6.0
115	93.0	6.0
116	94.0	6.0
117	93.0	6.0
