Count	a1 [inc]	a2 [inc]
118	93.0	6.0
119	94.0	6.0
120	94.0	6.0
121	93.0	6.0
122	94.0	6.0
123	94.0	6.0
124	94.0	6.0
125	94.0	6.0
126	94.0	6.0
127	94.0	6.0
128	94.0	6.0
129	94.0	6.0
130	94.0	6.0
131	94.0	6.0
132	94.0	6.0
133	93.0	6.0
134	94.0	6.0
135	94.0	6.0
136	93.0	6.0
137	94.0	6.0
138	93.0	6.0
139	93.0	6.0
140	94.0	6.0
141	94.0	6.0
142	94.0	6.0
143	94.0	6.0
144	94.0	6.0
145	93.0	6.0
146	94.0	6.0
147	94.0	6.0
148	93.0	6.0
149	94.0	6.0
150	94.0	6.0
151	93.0	6.0
152	94.0	6.0
153	94.0	6.0
154	94.0	6.0
155	94.0	6.0
156	94.0	6.0
157	93.0	6.0
158	94.0	6.0
159	93.0	6.0
160	94.0	6.0
161	94.0	6.0
162	94.0	6.0
163	94.0	6.0
164	93.0	6.0
165	94.0	6.0
166	93.0	6.0
167	94.0	6.0
168	94.0	6.0
169	94.0	6.0
170	94.0	6.0
171	94.0	6.0
172	94.0	6.0
173	94.0	6.0
174	94.0	6.0
175	94.0	6.0
176	94.0	6.0
177	94.0	6.0
178	94.0	6.0
179	94.0	6.0
180	94.0	6.0
181	94.0	6.0
182	94.0	6.0
183	93.0	6.0
184	94.0	6.0
185	93.0	6.0
186	94.0	6.0
187	93.0	6.0
188	94.0	6.0
189	94.0	6.0
190	93.0	6.0
191	94.0	6.0
192	94.0	6.0
193	94.0	6.0
194	94.0	6.0
195	94.0	6.0
196	94.0	6.0
197	94.0	6.0
198	94.0	6.0
199	93.0	6.0
200	94.0	6.0
201	94.0	6.0
202	94.0	6.0
203	94.0	6.0
204	94.0	6.0
205	94.0	6.0
206	94.0	6.0
207	94.0	6.0
208	94.0	6.0
209	94.0	6.0
210	93.0	6.0
211	93.0	6.0
212	94.0	6.0
213	94.0	6.0
214	94.0	6.0
215	94.0	6.0
216	94.0	6.0
217	94.0	6.0
218	94.0	6.0
219	94.0	6.0
220	93.0	6.0
221	94.0	6.0
222	94.0	6.0
223	94.0	6.0
224	94.0	6.0
225	94.0	6.0
226	94.0	6.0
227	94.0	6.0
228	94.0	6.0
229	94.0	6.0
230	94.0	6.0
231	94.0	6.0
232	94.0	6.0
233	94.0	6.0
234	94.0	6.0
235	94.0	6.0
236	94.0	6.0
237	94.0	6.0
238	94.0	6.0
239	94.0	6.0
240	94.0	6.0
241	93.0	6.0
242	94.0	6.0
243	94.0	6.0
244	94.0	6.0
245	94.0	6.0
246	94.0	6.0
247	93.0	6.0
248	94.0	6.0
249	94.0	6.0
250	94.0	6.0
251	94.0	6.0
252	94.0	6.0
253	94.0	6.0
254	94.0	6.0
255	94.0	6.0
256	94.0	6.0
257	94.0	6.0
258	94.0	6.0
259	94.0	6.0
260	94.0	6.0
261	94.0	6.0
262	94.0	6.0
263	94.0	6.0
264	94.0	6.0
265	94.0	6.0
266	94.0	6.0
267	94.0	6.0
268	94.0	6.0
269	94.0	6.0
270	94.0	6.0
271	94.0	6.0
272	94.0	6.0
273	94.0	6.0
274	94.0	6.0
275	94.0	6.0
276	94.0	6.0
277	94.0	6.0
278	94.0	6.0
279	94.0	6.0
280	94.0	6.0
281	94.0	6.0
282	94.0	6.0
283	94.0	6.0
284	94.0	6.0
285	94.0	6.0
286	94.0	6.0
287	94.0	6.0
288	94.0	6.0
289	94.0	6.0
290	94.0	6.0
291	94.0	6.0
292	94.0	6.0
293	94.0	6.0
294	94.0	6.0
295	94.0	6.0
296	94.0	6.0
297	94.0	6.0
298	94.0	6.0
299	94.0	6.0
300	94.0	6.0
301	94.0	6.0
302	94.0	6.0
303	94.0	6.0
304	94.0	6.0
305	94.0	6.0
306	94.0	6.0
307	94.0	6.0
308	0.0	0.0
309	0.0	0.0
310	0.0	0.0
311	0.0	0.0
312	0.0	0.0
313	0.0	0.0
314	0.0	0.0
315	0.0	0.0
316	0.0	0.0
317	0.0	0.0
318	0.0	0.0
